hit_ID,x,y,z,layer_ID,particle_ID,particle_energy
0, 0.12103957869794268, -0.0005543368424526175, 3.9, Plane 0, 0, 7000.0
1, 0.10253193453685608, -0.0015610591253087892, 3.9, Plane 0, 1, 8000.0
2, 0.12784860784208985, -0.0005494096126926273, 4.0, Plane 1, 0, 7000.0
3, 0.10828159267753819, -0.0016004537865348845, 4.0, Plane 1, 1, 8000.0
4, 0.13464833759466250, -0.0005370527994169504, 4.1, Plane 2, 0, 7000.0
5, 0.11403923270685501, -0.0016270673269656798, 4.1, Plane 2, 1, 8000.0
6, 0.14144026879465033, -0.0005494048105441511, 4.2, Plane 3, 0, 7000.0
7, 0.11978100416246684, -0.0016458699843569216, 4.2, Plane 3, 1, 8000.0
