hit_ID,x,y,z,layer_ID,particle_ID,particle_energy
6,0.11013041991313767,0.0004986770910133678,3.9560125,Plane 0,6,6153.606317664028
16,0.09087747927155751,-0.00021251371900560126,3.9560125,Plane 0,16,7279.392681793834
20,0.11652646578787068,-0.0003438776177230588,3.9560125,Plane 0,20,5803.0943754125
26,0.08593405339698279,-0.0005093998690975431,3.9560125,Plane 0,26,7796.937613858742
38,0.09454077490741702,-0.0011708012143348122,3.9560125,Plane 0,38,7059.808160368793
48,0.11594089281278212,0.00048792564004731745,3.9560125,Plane 0,48,5751.083939539384
50,0.10325634384343496,-0.0004346988005588029,3.9560125,Plane 0,50,6563.56257365008
59,0.09053959949843221,-2.519814862032997e-05,3.9560125,Plane 0,59,7477.285033981272
64,0.11634210306052356,-0.00045731991144585746,3.9560125,Plane 0,64,5815.363157935659
74,0.1023698646368244,0.0007840772360112921,3.9560125,Plane 0,74,6599.41580459402
80,0.10325227055633464,-0.001053852766210632,3.9560125,Plane 0,80,6558.084725598343
93,0.09916113480990704,-0.001301684865723178,3.9560125,Plane 0,93,6812.069294076242
95,0.10883035998180884,-0.0005395947347526072,3.9560125,Plane 0,95,6116.524291382752
105,0.0843852371643688,0.0007561678320629598,3.9560125,Plane 0,105,8020.029624921918
106,0.11566103810142214,0.0005270724106143151,3.9560125,Plane 0,106,5886.656624230864
108,0.08737975467078204,0.00113360989396146,3.9560125,Plane 0,108,7678.8611185794425
134,0.1003356745306565,-0.0001846037565341275,3.9560125,Plane 0,134,6760.937408331508
137,0.11220425282859027,-0.000986031363470178,3.9560125,Plane 0,137,5983.167851098319
138,0.09695534569519086,-0.0006836829391522605,3.9560125,Plane 0,138,6946.8134047107815
140,0.08704028108813512,0.000884358835146645,3.9560125,Plane 0,140,7657.59642186889
142,0.11400321594918622,-0.00041687849909727385,3.9560125,Plane 0,142,5922.435213855705
143,0.10813183713588725,-0.0006942151422928483,3.9560125,Plane 0,143,6236.28581865299
147,0.09980348576086677,-0.00048792950284810106,3.9560125,Plane 0,147,6697.043354111744
152,0.11044892389312488,0.0006249588400196102,3.9560125,Plane 0,152,6119.286447129475
154,0.08764582479694191,-0.0007633774674383828,3.9560125,Plane 0,154,7728.969781812564
157,0.09361883657057332,-0.00014392589322714922,3.9560125,Plane 0,157,7087.848350944644
159,0.10308807139267376,-0.0007258521741639115,3.9560125,Plane 0,159,6466.209557632113
163,0.10909245023062661,-0.0009493127256606903,3.9560125,Plane 0,163,6237.192784352658
169,0.11764626126308864,0.0003244685858075116,3.9560125,Plane 0,169,5793.804952214764
173,0.0853550722158805,0.0011776535851672244,3.9560125,Plane 0,173,7840.839313340977
177,0.09951185648421651,0.0015519561044554666,3.9560125,Plane 0,177,6697.1703913115
182,0.09949174013758272,-0.0012955780107005714,3.9560125,Plane 0,182,6802.18006933009
185,0.11399430268489252,-0.0006987667983041979,3.9560125,Plane 0,185,5947.011384726174
189,0.07567511656863432,0.0002738490365327194,3.9560125,Plane 0,189,9017.02716248107
190,0.0853873578142824,8.233429530869577e-05,3.9560125,Plane 0,190,7838.344911036725
197,0.09207884394986919,0.0006990906772656993,3.9560125,Plane 0,197,7268.103981860159
198,0.11246374238793688,0.0016323447304707082,3.9560125,Plane 0,198,5970.637869420221
200,0.09456905722071698,-0.0011164030266516715,3.9560125,Plane 0,200,7119.83400269214
204,0.1096082707882782,8.355510297444543e-05,3.9560125,Plane 0,204,6164.177313726862
205,0.09344044957803879,0.00048568237542144987,3.9560125,Plane 0,205,7108.582878620977
208,0.07883393725770772,0.00032802357514461394,3.9560125,Plane 0,208,8615.547862559595
209,0.10385881120838716,0.0008663932281085755,3.9560125,Plane 0,209,6427.989049156038
211,0.10963367024201955,-0.00022494221622266093,3.9560125,Plane 0,211,6060.132709002096
213,0.09921453554689277,-0.000594136584011059,3.9560125,Plane 0,213,6819.200496721925
214,0.09948410981862202,0.0002838273052366216,3.9560125,Plane 0,214,6806.602642156672
217,0.08187937633302156,-0.0006052902380629921,3.9560125,Plane 0,217,8280.075267313085
220,0.10274533965361261,-0.00019933933040475505,3.9560125,Plane 0,220,6594.508240332077
224,0.10188978812328361,0.0006554764463880128,3.9560125,Plane 0,224,6538.715726919612
228,0.08982710914073147,-0.0005190336299467652,3.9560125,Plane 0,228,7506.158529407588
232,0.11037230475295343,0.0004381946819863339,3.9560125,Plane 0,232,6125.944229319883
236,0.09910753655984249,-0.00043036400213299325,3.9560125,Plane 0,236,6825.503850355464
237,0.10921515562965865,-0.0005078388516873283,3.9560125,Plane 0,237,6237.293270024507
238,0.11628471175436048,0.0006152784445020232,3.9560125,Plane 0,238,5856.026644360717
243,0.10616643299137805,-0.0014241181657936822,3.9560125,Plane 0,243,6354.9587453628255
244,0.09124712820676917,-0.0007268066266617188,3.9560125,Plane 0,244,7362.78852107476
260,0.11458717931130045,0.000287542591151522,3.9560125,Plane 0,260,5927.351841100596
264,0.10829211081875639,-0.00032949597152016403,3.9560125,Plane 0,264,6245.625280713635
268,0.1068380818435671,0.0007634519650433314,3.9560125,Plane 0,268,6208.990186466389
269,0.11233319004604442,6.494993644832929e-05,3.9560125,Plane 0,269,6032.240180786018
270,0.08354876592789628,0.0008002050049262392,3.9560125,Plane 0,270,8080.011909135155
280,0.08514489677855641,0.0010607707773854017,3.9560125,Plane 0,280,7861.203165064189
281,0.10373687401808473,-0.000562911119250183,3.9560125,Plane 0,281,6521.103210122517
290,0.11268427842341375,-0.0006439573726052545,3.9560125,Plane 0,290,5940.323797898034
291,0.11610751533908589,-0.00022945299604890319,3.9560125,Plane 0,291,5845.034412171641
292,0.09935376385820678,-0.00020831900456789554,3.9560125,Plane 0,292,6806.951615396683
299,0.10495922121467674,-0.0010000806890652705,3.9560125,Plane 0,299,6483.518168110193
305,0.11567125805972864,-0.0002125803847156725,3.9560125,Plane 0,305,5871.1761478946555
313,0.10701637244831151,0.0009474773797883535,3.9560125,Plane 0,313,6237.476719134939
314,0.10974608217437018,-0.001004105201651769,3.9560125,Plane 0,314,6140.3802278435805
316,0.10921668307247995,-0.000989501264168072,3.9560125,Plane 0,316,6207.28590909786
325,0.11192470843411242,-0.0010988150040330937,3.9560125,Plane 0,325,5968.495314079682
337,0.11250879662975746,-0.0008877013635135765,3.9560125,Plane 0,337,6035.383142782222
338,0.10192123742627957,-0.0006463573798230163,3.9560125,Plane 0,338,6668.053854885478
339,0.11016705610344195,-0.0004574484872217526,3.9560125,Plane 0,339,6135.194866215959
350,0.11349501681129173,9.556889216203285e-05,3.9560125,Plane 0,350,5962.8893726474935
355,0.09088725489638547,-0.0012354953591966454,3.9560125,Plane 0,355,7448.363816744489
359,0.0993461620045145,-0.00041001928459562275,3.9560125,Plane 0,359,6813.509587080621
362,0.11055654575638485,0.0008248849173428992,3.9560125,Plane 0,362,6008.178155830682
367,0.11325431693453664,0.000544760126974778,3.9560125,Plane 0,367,6019.859575172913
374,0.10739466736846157,7.290510717524067e-05,3.9560125,Plane 0,374,6316.1670962263015
378,0.10305053071114478,8.985395422415337e-05,3.9560125,Plane 0,378,6597.373520825286
390,0.10720947942795403,0.0011269355134102352,3.9560125,Plane 0,390,6216.515679022826
391,0.11175090884819822,-0.000382891201246006,3.9560125,Plane 0,391,5956.370630229345
395,0.08792672837662088,-0.0010745222002976668,3.9560125,Plane 0,395,7624.345617749646
396,0.10604092973420368,0.00016140685147975593,3.9560125,Plane 0,396,6417.277871031635
397,0.10939484276142716,-0.0015621435366181165,3.9560125,Plane 0,397,6174.650173574559
399,0.1160659899052333,-0.0017436508577023508,3.9560125,Plane 0,399,5807.234135026321
403,0.08995483085269068,0.00027667124607350725,3.9560125,Plane 0,403,7476.37739786004
405,0.10357906421147692,0.001514221640941342,3.9560125,Plane 0,405,6482.8573060599
409,0.10198007056179166,0.0007546248959214138,3.9560125,Plane 0,409,6542.277410128092
414,0.11294048978423277,-0.0009503024385645598,3.9560125,Plane 0,414,5989.955344216584
415,0.08091256992721967,0.0005033661335644497,3.9560125,Plane 0,415,8323.476123379209
421,0.1068686114154919,0.0009269561041109588,3.9560125,Plane 0,421,6226.435753470392
425,0.09785482951125138,-0.0001449674034534296,3.9560125,Plane 0,425,6758.169659464147
431,0.11388120293826677,-0.0008443219233548388,3.9560125,Plane 0,431,5865.222783989984
432,0.07751444365805718,-2.047174357998234e-06,3.9560125,Plane 0,432,8544.340067904168
433,0.08723155539643383,-0.00012137082967196965,3.9560125,Plane 0,433,7745.389250343104
434,0.08179260831695691,-0.0006800087750604539,3.9560125,Plane 0,434,8126.803747820275
437,0.11688650287265903,0.0009462333491222373,3.9560125,Plane 0,437,5802.888758084376
453,0.10274864122565833,0.0015617957047959934,3.9560125,Plane 0,453,6524.60471994167
456,0.10905233433523763,-0.00042793118170758246,3.9560125,Plane 0,456,6190.2297127440825
462,0.10926613776289931,0.0012354642777312444,3.9560125,Plane 0,462,6110.968030426904
467,0.09074188417037551,0.0002975588401442451,3.9560125,Plane 0,467,7469.198457118754
475,0.09775507309161996,-0.0007475522902259388,3.9560125,Plane 0,475,6850.924309258212
479,0.09211367408767544,-0.00039634367563317577,3.9560125,Plane 0,479,7359.560515833316
483,0.11272536111174883,0.0007375341004513501,3.9560125,Plane 0,483,5921.219215501889
485,0.10414756427944538,0.0007134569012739704,3.9560125,Plane 0,485,6447.883278809851
489,0.11332993274828679,0.001030235511288273,3.9560125,Plane 0,489,5948.445861960527
